Table,Field,Type,Nullable,Default,Description,Category
ConfigurationOption,configuration,ProductConfiguration,No,,,Other
ProductLifecycle,id,String,No,cuid(,,Other
ProductLifecycle,partId,String,No,,,Other
ProductLifecycle,previousState,ProductLifecycleState,Yes,,,Other
ProductLifecycle,newState,ProductLifecycleState,No,,,Other
ProductLifecycle,transitionDate,DateTime,No,now(,,Other
ProductLifecycle,reason,String,Yes,,,Other
ProductLifecycle,ecoNumber,String,Yes,,,Other
ProductLifecycle,approvedBy,String,Yes,,,Other
ProductLifecycle,approvedAt,DateTime,Yes,,,Other
ProductLifecycle,notificationsSent,Boolean,No,auto,,Other
ProductLifecycle,impactAssessment,String,Yes,,,Other
ProductLifecycle,notes,String,Yes,,,Other
ProductLifecycle,metadata,Json,Yes,,,Other
ProductLifecycle,createdAt,DateTime,No,now(,,Other
ProductLifecycle,part,Part,No,,,Other
WorkOrder,id,String,No,cuid(,,Production Management
WorkOrder,workOrderNumber,String,No,,Human-readable identifier for production work orders following company format,Production Management
WorkOrder,partId,String,No,,,Production Management
WorkOrder,partNumber,String,Yes,,,Production Management
WorkOrder,quantity,Int,No,,,Production Management
WorkOrder,quantityCompleted,Int,No,auto,,Production Management
WorkOrder,quantityScrapped,Int,No,auto,,Production Management
WorkOrder,priority,WorkOrderPriority,No,,Production priority level affecting scheduling and resource allocation,Production Management
WorkOrder,status,WorkOrderStatus,No,,,Production Management
WorkOrder,dueDate,DateTime,Yes,,,Production Management
WorkOrder,customerOrder,String,Yes,,,Production Management
WorkOrder,routingId,String,Yes,,,Production Management
WorkOrder,siteId,String,Yes,,,Production Management
WorkOrder,createdById,String,No,,,Production Management
WorkOrder,assignedToId,String,Yes,,,Production Management
WorkOrder,startedAt,DateTime,Yes,,,Production Management
WorkOrder,actualStartDate,DateTime,Yes,,Date when production work actually began on the shop floor,Production Management
WorkOrder,completedAt,DateTime,Yes,,,Production Management
WorkOrder,actualEndDate,DateTime,Yes,,,Production Management
WorkOrder,createdAt,DateTime,No,now(,,Production Management
WorkOrder,updatedAt,DateTime,No,,,Production Management
WorkOrder,dispatchLogs,DispatchLog[],No,,,Production Management
WorkOrder,equipmentCommands,EquipmentCommand[],No,,,Production Management
WorkOrder,equipmentDataCollections,EquipmentDataCollection[],No,,,Production Management
WorkOrder,equipmentMaterialMovements,EquipmentMaterialMovement[],No,,,Production Management
WorkOrder,erpMaterialTransactions,ERPMaterialTransaction[],No,,,Production Management
WorkOrder,laborTimeEntries,LaborTimeEntry[],No,,,Production Management
WorkOrder,machineTimeEntries,MachineTimeEntry[],No,,,Production Management
WorkOrder,materialTransactions,MaterialTransaction[],No,,,Production Management
WorkOrder,ncrs,NCR[],No,,,Production Management
WorkOrder,processDataCollections,ProcessDataCollection[],No,,,Production Management
WorkOrder,productionPerformanceActuals,ProductionPerformanceActual[],No,,,Production Management
WorkOrder,productionScheduleRequests,ProductionScheduleRequest[],No,,,Production Management
WorkOrder,variances,ProductionVariance[],No,,,Production Management
WorkOrder,qifMeasurementPlans,QIFMeasurementPlan[],No,,,Production Management
WorkOrder,qifMeasurementResults,QIFMeasurementResult[],No,,,Production Management
WorkOrder,qualityInspections,QualityInspection[],No,,,Production Management
WorkOrder,scheduleEntry,ScheduleEntry,Yes,,,Production Management
WorkOrder,operations,WorkOrderOperation[],No,,,Production Management
WorkOrder,statusHistory,WorkOrderStatusHistory[],No,,,Production Management
WorkOrder,assignedTo,User,Yes,,,Production Management
WorkOrder,createdBy,User,No,,,Production Management
WorkOrder,part,Part,No,,,Production Management
WorkOrder,routing,Routing,Yes,,,Production Management
WorkOrder,site,Site,Yes,,,Production Management
WorkOrder,workPerformance,WorkPerformance[],No,,,Production Management
Routing,id,String,No,cuid(,,Production Management
Routing,routingNumber,String,No,,,Production Management
Routing,partId,String,Yes,,,Production Management
Routing,siteId,String,Yes,,,Production Management
Routing,version,String,No,1.0,,Production Management
Routing,lifecycleState,RoutingLifecycleState,No,DRAFT,,Production Management
Routing,description,String,Yes,,,Production Management
Routing,isPrimaryRoute,Boolean,No,auto,,Production Management
Routing,isActive,Boolean,No,true,,Production Management
Routing,effectiveDate,DateTime,Yes,,,Production Management
Routing,expirationDate,DateTime,Yes,,,Production Management
Routing,routingType,RoutingType,No,PRIMARY,,Production Management
Routing,alternateForId,String,Yes,,,Production Management
Routing,priority,Int,No,1,,Production Management
Routing,approvedBy,String,Yes,,,Production Management
Routing,approvedAt,DateTime,Yes,,,Production Management
Routing,visualData,Json,Yes,,,Production Management
Routing,createdAt,DateTime,No,now(,,Production Management
Routing,updatedAt,DateTime,No,,,Production Management
Routing,createdBy,String,Yes,,,Production Management
Routing,notes,String,Yes,,,Production Management
Routing,operations,RoutingOperation[],No,,,Production Management
Routing,steps,RoutingStep[],No,,,Production Management
Routing,templateSources,RoutingTemplate[],No,,,Production Management
Routing,alternateFor,Routing,Yes,,,Production Management
Routing,alternateRoutes,Routing[],No,,,Production Management
Routing,part,Part,Yes,,,Production Management
Routing,site,Site,Yes,,,Production Management
Routing,scheduleEntries,ScheduleEntry[],No,,,Production Management
Routing,workOrders,WorkOrder[],No,,,Production Management
RoutingOperation,id,String,No,cuid(,,Production Management
RoutingOperation,routingId,String,No,,,Production Management
RoutingOperation,operationNumber,Int,No,,,Production Management
RoutingOperation,operationName,String,No,,,Production Management
RoutingOperation,description,String,Yes,,,Production Management
RoutingOperation,setupTime,Float,Yes,,,Production Management
RoutingOperation,cycleTime,Float,Yes,,,Production Management
RoutingOperation,workCenterId,String,Yes,,,Production Management
RoutingOperation,isActive,Boolean,No,true,,Production Management
RoutingOperation,createdAt,DateTime,No,now(,,Production Management
RoutingOperation,updatedAt,DateTime,No,,,Production Management
RoutingOperation,routing,Routing,No,,,Production Management
RoutingOperation,workCenter,WorkCenter,Yes,,,Production Management
RoutingOperation,workOrderOps,WorkOrderOperation[],No,,,Production Management
RoutingStep,id,String,No,cuid(,,Production Management
RoutingStep,routingId,String,No,,,Production Management
RoutingStep,stepNumber,Int,No,,,Production Management
RoutingStep,operationId,String,No,,,Production Management
RoutingStep,workCenterId,String,Yes,,,Production Management
RoutingStep,stepType,StepType,No,PROCESS,,Production Management
RoutingStep,controlType,ControlType,Yes,,,Production Management
RoutingStep,setupTimeOverride,Int,Yes,,,Production Management
RoutingStep,cycleTimeOverride,Int,Yes,,,Production Management
RoutingStep,teardownTimeOverride,Int,Yes,,,Production Management
RoutingStep,isOptional,Boolean,No,auto,,Production Management
RoutingStep,isQualityInspection,Boolean,No,auto,,Production Management
RoutingStep,isCriticalPath,Boolean,No,auto,,Production Management
RoutingStep,workInstructionId,String,Yes,,,Production Management
RoutingStep,stepInstructions,String,Yes,,,Production Management
RoutingStep,notes,String,Yes,,,Production Management
RoutingStep,createdAt,DateTime,No,now(,,Production Management
RoutingStep,updatedAt,DateTime,No,,,Production Management
RoutingStep,dependencies,RoutingStepDependency[],No,,,Production Management
RoutingStep,prerequisites,RoutingStepDependency[],No,,,Production Management
RoutingStep,parameterOverrides,RoutingStepParameter[],No,,,Production Management
RoutingStep,operation,Operation,No,,,Production Management
RoutingStep,routing,Routing,No,,,Production Management
RoutingStep,workCenter,WorkCenter,Yes,,,Production Management
RoutingStep,workInstruction,WorkInstruction,Yes,,,Production Management
RoutingStep,workOrderOperations,WorkOrderOperation[],No,,,Production Management
RoutingStepDependency,id,String,No,cuid(,,Production Management
RoutingStepDependency,dependentStepId,String,No,,,Production Management
RoutingStepDependency,prerequisiteStepId,String,No,,,Production Management
RoutingStepDependency,dependencyType,DependencyType,No,,,Production Management
RoutingStepDependency,timingType,DependencyTimingType,No,,,Production Management
RoutingStepDependency,lagTime,Int,Yes,,,Production Management
RoutingStepDependency,leadTime,Int,Yes,,,Production Management
RoutingStepDependency,createdAt,DateTime,No,now(,,Production Management
RoutingStepDependency,dependentStep,RoutingStep,No,,,Production Management
RoutingStepDependency,prerequisiteStep,RoutingStep,No,,,Production Management
RoutingStepParameter,id,String,No,cuid(,,Production Management
RoutingStepParameter,routingStepId,String,No,,,Production Management
RoutingStepParameter,parameterName,String,No,,,Production Management
RoutingStepParameter,parameterValue,String,No,,,Production Management
RoutingStepParameter,unitOfMeasure,String,Yes,,,Production Management
RoutingStepParameter,notes,String,Yes,,,Production Management
RoutingStepParameter,createdAt,DateTime,No,now(,,Production Management
RoutingStepParameter,updatedAt,DateTime,No,,,Production Management
RoutingStepParameter,routingStep,RoutingStep,No,,,Production Management
RoutingTemplate,id,String,No,cuid(,,Production Management
RoutingTemplate,name,String,No,,,Production Management
RoutingTemplate,number,String,No,cuid(,,Production Management
RoutingTemplate,category,String,Yes,,,Production Management
RoutingTemplate,description,String,Yes,,,Production Management
RoutingTemplate,tags,String[],No,,,Production Management
RoutingTemplate,isPublic,Boolean,No,auto,,Production Management
RoutingTemplate,isFavorite,Boolean,No,auto,,Production Management
RoutingTemplate,usageCount,Int,No,auto,,Production Management
RoutingTemplate,rating,Float,Yes,,,Production Management
RoutingTemplate,visualData,Json,Yes,,,Production Management
RoutingTemplate,sourceRoutingId,String,Yes,,,Production Management
RoutingTemplate,createdById,String,No,,,Production Management
RoutingTemplate,siteId,String,No,,,Production Management
RoutingTemplate,createdAt,DateTime,No,now(,,Production Management
RoutingTemplate,updatedAt,DateTime,No,,,Production Management
RoutingTemplate,createdBy,User,No,,,Production Management
RoutingTemplate,site,Site,No,,,Production Management
RoutingTemplate,sourceRouting,Routing,Yes,,,Production Management
WorkCenter,id,String,No,cuid(,,Core Infrastructure
WorkCenter,name,String,No,,,Core Infrastructure
WorkCenter,description,String,Yes,,,Core Infrastructure
WorkCenter,capacity,Float,Yes,,,Core Infrastructure
WorkCenter,areaId,String,Yes,,,Core Infrastructure
WorkCenter,isActive,Boolean,No,true,,Core Infrastructure
WorkCenter,createdAt,DateTime,No,now(,,Core Infrastructure
WorkCenter,updatedAt,DateTime,No,,,Core Infrastructure
WorkCenter,dispatchLogs,DispatchLog[],No,,,Core Infrastructure
WorkCenter,equipment,Equipment[],No,,,Core Infrastructure
WorkCenter,personnelAssignments,PersonnelWorkCenterAssignment[],No,,,Core Infrastructure
WorkCenter,operations,RoutingOperation[],No,,,Core Infrastructure
WorkCenter,routingSteps,RoutingStep[],No,,,Core Infrastructure
WorkCenter,scheduleEntries,ScheduleEntry[],No,,,Core Infrastructure
WorkCenter,area,Area,Yes,,,Core Infrastructure
WorkCenter,workUnits,WorkUnit[],No,,,Core Infrastructure
WorkUnit,id,String,No,cuid(,,Production Management
WorkUnit,workUnitCode,String,No,,,Production Management
WorkUnit,workUnitName,String,No,,,Production Management
WorkUnit,description,String,Yes,,,Production Management
WorkUnit,workCenterId,String,No,,,Production Management
WorkUnit,isActive,Boolean,No,true,,Production Management
WorkUnit,createdAt,DateTime,No,now(,,Production Management
WorkUnit,updatedAt,DateTime,No,,,Production Management
WorkUnit,equipment,Equipment[],No,,,Production Management
WorkUnit,workCenter,WorkCenter,No,,,Production Management
WorkOrderOperation,id,String,No,cuid(,,Production Management
WorkOrderOperation,workOrderId,String,No,,,Production Management
WorkOrderOperation,routingOperationId,String,No,,,Production Management
WorkOrderOperation,status,WorkOrderOperationStatus,No,,,Production Management
WorkOrderOperation,quantity,Int,No,,,Production Management
WorkOrderOperation,quantityCompleted,Int,No,auto,,Production Management
WorkOrderOperation,quantityScrap,Int,No,auto,,Production Management
WorkOrderOperation,startedAt,DateTime,Yes,,,Production Management
WorkOrderOperation,completedAt,DateTime,Yes,,,Production Management
WorkOrderOperation,createdAt,DateTime,No,now(,,Production Management
WorkOrderOperation,updatedAt,DateTime,No,,,Production Management
WorkOrderOperation,routingStepId,String,Yes,,,Production Management
WorkOrderOperation,laborTimeEntries,LaborTimeEntry[],No,,,Production Management
WorkOrderOperation,machineTimeEntries,MachineTimeEntry[],No,,,Production Management
WorkOrderOperation,variances,ProductionVariance[],No,,,Production Management
WorkOrderOperation,routingOperation,RoutingOperation,No,,,Production Management
WorkOrderOperation,RoutingStep,RoutingStep,Yes,,,Production Management
WorkOrderOperation,workOrder,WorkOrder,No,,,Production Management
WorkOrderOperation,workPerformance,WorkPerformance[],No,,,Production Management
ProductionSchedule,id,String,No,cuid(,,Production Management
ProductionSchedule,scheduleNumber,String,No,,,Production Management
ProductionSchedule,scheduleName,String,No,,Human-readable identifier for the production schedule,Production Management
ProductionSchedule,description,String,Yes,,,Production Management
ProductionSchedule,periodStart,DateTime,No,,,Production Management
ProductionSchedule,periodEnd,DateTime,No,,,Production Management
ProductionSchedule,periodType,String,No,MONTHLY,,Production Management
ProductionSchedule,siteId,String,Yes,,,Production Management
ProductionSchedule,areaId,String,Yes,,,Production Management
ProductionSchedule,state,ScheduleState,No,FORECAST,,Production Management
ProductionSchedule,stateChangedAt,DateTime,No,now(,,Production Management
ProductionSchedule,stateChangedBy,String,Yes,,,Production Management
ProductionSchedule,priority,SchedulePriority,No,NORMAL,,Production Management
ProductionSchedule,plannedBy,String,Yes,,,Production Management
ProductionSchedule,approvedBy,String,Yes,,,Production Management
ProductionSchedule,approvedAt,DateTime,Yes,,,Production Management
ProductionSchedule,dispatchedCount,Int,No,auto,,Production Management
ProductionSchedule,totalEntries,Int,No,auto,,Production Management
ProductionSchedule,isLocked,Boolean,No,auto,,Production Management
ProductionSchedule,isFeasible,Boolean,No,true,,Production Management
ProductionSchedule,feasibilityNotes,String,Yes,,,Production Management
ProductionSchedule,notes,String,Yes,,,Production Management
ProductionSchedule,metadata,Json,Yes,,,Production Management
ProductionSchedule,createdAt,DateTime,No,now(,,Production Management
ProductionSchedule,updatedAt,DateTime,No,,,Production Management
ProductionSchedule,site,Site,Yes,,,Production Management
ProductionSchedule,entries,ScheduleEntry[],No,,,Production Management
ProductionSchedule,stateHistory,ScheduleStateHistory[],No,,,Production Management
ScheduleEntry,id,String,No,cuid(,,Other
ScheduleEntry,scheduleId,String,No,,,Other
ScheduleEntry,entryNumber,Int,No,,,Other
ScheduleEntry,partId,String,No,,,Other
ScheduleEntry,partNumber,String,No,,,Other
ScheduleEntry,description,String,Yes,,,Other
ScheduleEntry,plannedQuantity,Float,No,,,Other
ScheduleEntry,dispatchedQuantity,Float,No,auto,,Other
ScheduleEntry,completedQuantity,Float,No,auto,,Other
ScheduleEntry,unitOfMeasure,String,No,EA,,Other
ScheduleEntry,plannedStartDate,DateTime,No,,,Other
ScheduleEntry,plannedEndDate,DateTime,No,,,Other
ScheduleEntry,actualStartDate,DateTime,Yes,,,Other
ScheduleEntry,actualEndDate,DateTime,Yes,,,Other
ScheduleEntry,priority,SchedulePriority,No,NORMAL,,Other
ScheduleEntry,sequenceNumber,Int,Yes,,,Other
ScheduleEntry,estimatedDuration,Int,Yes,,,Other
ScheduleEntry,workCenterId,String,Yes,,,Other
ScheduleEntry,routingId,String,Yes,,,Other
ScheduleEntry,customerOrder,String,Yes,,,Other
ScheduleEntry,customerDueDate,DateTime,Yes,,,Other
ScheduleEntry,salesOrder,String,Yes,,,Other
ScheduleEntry,isDispatched,Boolean,No,auto,,Other
ScheduleEntry,dispatchedAt,DateTime,Yes,,,Other
ScheduleEntry,dispatchedBy,String,Yes,,,Other
ScheduleEntry,workOrderId,String,Yes,,,Other
ScheduleEntry,isCancelled,Boolean,No,auto,,Other
ScheduleEntry,cancelledAt,DateTime,Yes,,,Other
ScheduleEntry,cancelledReason,String,Yes,,,Other
ScheduleEntry,notes,String,Yes,,,Other
ScheduleEntry,metadata,Json,Yes,,,Other
ScheduleEntry,createdAt,DateTime,No,now(,,Other
ScheduleEntry,updatedAt,DateTime,No,,,Other
ScheduleEntry,constraints,ScheduleConstraint[],No,,,Other
ScheduleEntry,part,Part,No,,,Other
ScheduleEntry,routing,Routing,Yes,,,Other
ScheduleEntry,schedule,ProductionSchedule,No,,,Other
ScheduleEntry,workCenter,WorkCenter,Yes,,,Other
ScheduleEntry,workOrder,WorkOrder,Yes,,,Other
ScheduleConstraint,id,String,No,cuid(,,Production Management
ScheduleConstraint,entryId,String,No,,,Production Management
ScheduleConstraint,constraintType,ConstraintType,No,,,Production Management
ScheduleConstraint,constraintName,String,No,,,Production Management
ScheduleConstraint,description,String,Yes,,,Production Management
ScheduleConstraint,resourceId,String,Yes,,,Production Management
ScheduleConstraint,resourceType,String,Yes,,,Production Management
ScheduleConstraint,requiredQuantity,Float,Yes,,,Production Management
ScheduleConstraint,availableQuantity,Float,Yes,,,Production Management
ScheduleConstraint,unitOfMeasure,String,Yes,,,Production Management
ScheduleConstraint,constraintDate,DateTime,Yes,,,Production Management
ScheduleConstraint,leadTimeDays,Int,Yes,,,Production Management
ScheduleConstraint,isViolated,Boolean,No,auto,,Production Management
ScheduleConstraint,violationSeverity,String,Yes,,,Production Management
ScheduleConstraint,violationMessage,String,Yes,,,Production Management
ScheduleConstraint,isResolved,Boolean,No,auto,,Production Management
ScheduleConstraint,resolvedAt,DateTime,Yes,,,Production Management
ScheduleConstraint,resolvedBy,String,Yes,,,Production Management
ScheduleConstraint,resolutionNotes,String,Yes,,,Production Management
ScheduleConstraint,notes,String,Yes,,,Production Management
ScheduleConstraint,metadata,Json,Yes,,,Production Management
ScheduleConstraint,createdAt,DateTime,No,now(,,Production Management
ScheduleConstraint,updatedAt,DateTime,No,,,Production Management
ScheduleConstraint,entry,ScheduleEntry,No,,,Production Management
ScheduleStateHistory,id,String,No,cuid(,,Production Management
ScheduleStateHistory,scheduleId,String,No,,,Production Management
ScheduleStateHistory,previousState,ScheduleState,Yes,,,Production Management
ScheduleStateHistory,newState,ScheduleState,No,,,Production Management
ScheduleStateHistory,transitionDate,DateTime,No,now(,,Production Management
ScheduleStateHistory,reason,String,Yes,,,Production Management
ScheduleStateHistory,changedBy,String,Yes,,,Production Management
ScheduleStateHistory,entriesAffected,Int,Yes,,,Production Management
ScheduleStateHistory,notificationsSent,Boolean,No,auto,,Production Management
ScheduleStateHistory,notes,String,Yes,,,Production Management
ScheduleStateHistory,metadata,Json,Yes,,,Production Management
ScheduleStateHistory,createdAt,DateTime,No,now(,,Production Management
ScheduleStateHistory,schedule,ProductionSchedule,No,,,Production Management
WorkOrderStatusHistory,id,String,No,cuid(,,Production Management
WorkOrderStatusHistory,workOrderId,String,No,,,Production Management
WorkOrderStatusHistory,previousStatus,WorkOrderStatus,Yes,,,Production Management
WorkOrderStatusHistory,newStatus,WorkOrderStatus,No,,,Production Management
WorkOrderStatusHistory,transitionDate,DateTime,No,now(,,Production Management
WorkOrderStatusHistory,reason,String,Yes,,,Production Management
WorkOrderStatusHistory,changedBy,String,Yes,,,Production Management
WorkOrderStatusHistory,notes,String,Yes,,,Production Management
WorkOrderStatusHistory,quantityAtTransition,Int,Yes,,,Production Management
WorkOrderStatusHistory,scrapAtTransition,Int,Yes,,,Production Management
WorkOrderStatusHistory,metadata,Json,Yes,,,Production Management
WorkOrderStatusHistory,createdAt,DateTime,No,now(,,Production Management
WorkOrderStatusHistory,workOrder,WorkOrder,No,,,Production Management
DispatchLog,id,String,No,cuid(,,Production Management
DispatchLog,workOrderId,String,No,,,Production Management
DispatchLog,dispatchedAt,DateTime,No,now(,,Production Management
DispatchLog,dispatchedBy,String,Yes,,,Production Management
DispatchLog,dispatchedFrom,String,Yes,,,Production Management
DispatchLog,assignedToId,String,Yes,,,Production Management
DispatchLog,workCenterId,String,Yes,,,Production Management
DispatchLog,priorityOverride,WorkOrderPriority,Yes,,,Production Management
DispatchLog,expectedStartDate,DateTime,Yes,,,Production Management
DispatchLog,expectedEndDate,DateTime,Yes,,,Production Management
DispatchLog,quantityDispatched,Int,No,,,Production Management
DispatchLog,materialReserved,Boolean,No,auto,,Production Management
DispatchLog,toolingReserved,Boolean,No,auto,,Production Management
DispatchLog,dispatchNotes,String,Yes,,,Production Management
DispatchLog,metadata,Json,Yes,,,Production Management
DispatchLog,createdAt,DateTime,No,now(,,Production Management
DispatchLog,assignedTo,User,Yes,,,Production Management
DispatchLog,workCenter,WorkCenter,Yes,,,Production Management
DispatchLog,workOrder,WorkOrder,No,,,Production Management
WorkPerformance,id,String,No,cuid(,,Other
WorkPerformance,workOrderId,String,No,,,Other
WorkPerformance,operationId,String,Yes,,,Other
WorkPerformance,performanceType,WorkPerformanceType,No,,,Other
WorkPerformance,recordedAt,DateTime,No,now(,,Other
WorkPerformance,recordedBy,String,Yes,,,Other
WorkPerformance,personnelId,String,Yes,,,Other
WorkPerformance,laborHours,Float,Yes,,,Other
WorkPerformance,laborCost,Float,Yes,,,Other
WorkPerformance,laborEfficiency,Float,Yes,,,Other
WorkPerformance,partId,String,Yes,,,Other
WorkPerformance,quantityConsumed,Float,Yes,,,Other
WorkPerformance,quantityPlanned,Float,Yes,,,Other
WorkPerformance,materialVariance,Float,Yes,,,Other
WorkPerformance,unitCost,Float,Yes,,,Other
WorkPerformance,totalCost,Float,Yes,,,Other
WorkPerformance,equipmentId,String,Yes,,,Other
WorkPerformance,setupTime,Float,Yes,,,Other
WorkPerformance,runTime,Float,Yes,,,Other
WorkPerformance,plannedSetupTime,Float,Yes,,,Other
WorkPerformance,plannedRunTime,Float,Yes,,,Other
WorkPerformance,quantityProduced,Int,Yes,,,Other
WorkPerformance,quantityGood,Int,Yes,,,Other
WorkPerformance,quantityScrap,Int,Yes,,,Other
WorkPerformance,quantityRework,Int,Yes,,,Other
WorkPerformance,yieldPercentage,Float,Yes,,,Other
WorkPerformance,scrapReason,String,Yes,,,Other
WorkPerformance,downtimeMinutes,Float,Yes,,,Other
WorkPerformance,downtimeReason,String,Yes,,,Other
WorkPerformance,downtimeCategory,String,Yes,,,Other
WorkPerformance,notes,String,Yes,,,Other
WorkPerformance,metadata,Json,Yes,,,Other
WorkPerformance,createdAt,DateTime,No,now(,,Other
WorkPerformance,updatedAt,DateTime,No,,,Other
WorkPerformance,operation,WorkOrderOperation,Yes,,,Other
WorkPerformance,personnel,User,Yes,,,Other
WorkPerformance,workOrder,WorkOrder,No,,,Other
ProductionVariance,id,String,No,cuid(,,Production Management
ProductionVariance,workOrderId,String,No,,,Production Management
ProductionVariance,operationId,String,Yes,,,Production Management
ProductionVariance,varianceType,VarianceType,No,,,Production Management
ProductionVariance,varianceName,String,No,,,Production Management
ProductionVariance,plannedValue,Float,No,,,Production Management
ProductionVariance,actualValue,Float,No,,,Production Management
ProductionVariance,variance,Float,No,,,Production Management
ProductionVariance,variancePercent,Float,No,,,Production Management
ProductionVariance,isFavorable,Boolean,No,auto,,Production Management
ProductionVariance,costImpact,Float,Yes,,,Production Management
ProductionVariance,rootCause,String,Yes,,,Production Management
ProductionVariance,correctiveAction,String,Yes,,,Production Management
ProductionVariance,responsibleParty,String,Yes,,,Production Management
ProductionVariance,calculatedAt,DateTime,No,now(,,Production Management
ProductionVariance,periodStart,DateTime,Yes,,,Production Management
ProductionVariance,periodEnd,DateTime,Yes,,,Production Management
ProductionVariance,isResolved,Boolean,No,auto,,Production Management
ProductionVariance,resolvedAt,DateTime,Yes,,,Production Management
ProductionVariance,resolvedBy,String,Yes,,,Production Management
ProductionVariance,notes,String,Yes,,,Production Management
ProductionVariance,metadata,Json,Yes,,,Production Management
ProductionVariance,createdAt,DateTime,No,now(,,Production Management
ProductionVariance,updatedAt,DateTime,No,,,Production Management
ProductionVariance,operation,WorkOrderOperation,Yes,,,Production Management
ProductionVariance,workOrder,WorkOrder,No,,,Production Management
QualityPlan,id,String,No,cuid(,,Quality Management
QualityPlan,planNumber,String,No,,,Quality Management
QualityPlan,planName,String,No,,,Quality Management
QualityPlan,partId,String,No,,,Quality Management
QualityPlan,operation,String,Yes,,,Quality Management
QualityPlan,description,String,Yes,,,Quality Management
QualityPlan,isActive,Boolean,No,true,,Quality Management
QualityPlan,createdAt,DateTime,No,now(,,Quality Management
QualityPlan,updatedAt,DateTime,No,,,Quality Management
QualityPlan,characteristics,QualityCharacteristic[],No,,,Quality Management
QualityPlan,inspections,QualityInspection[],No,,,Quality Management
QualityPlan,part,Part,No,,,Quality Management
QualityCharacteristic,id,String,No,cuid(,,Other
QualityCharacteristic,planId,String,No,,,Other
QualityCharacteristic,characteristic,String,No,,,Other
QualityCharacteristic,specification,String,No,,,Other
QualityCharacteristic,toleranceType,QualityToleranceType,No,,,Other
QualityCharacteristic,nominalValue,Float,Yes,,,Other
QualityCharacteristic,upperLimit,Float,Yes,,,Other
QualityCharacteristic,lowerLimit,Float,Yes,,,Other
QualityCharacteristic,unitOfMeasure,String,Yes,,,Other
QualityCharacteristic,inspectionMethod,String,Yes,,,Other
QualityCharacteristic,isActive,Boolean,No,true,,Other
QualityCharacteristic,createdAt,DateTime,No,now(,,Other
QualityCharacteristic,updatedAt,DateTime,No,,,Other
QualityCharacteristic,plan,QualityPlan,No,,,Other
QualityCharacteristic,measurements,QualityMeasurement[],No,,,Other
QualityInspection,id,String,No,cuid(,,Quality Management
QualityInspection,inspectionNumber,String,No,,,Quality Management
QualityInspection,workOrderId,String,No,,,Quality Management
QualityInspection,planId,String,No,,,Quality Management
QualityInspection,inspectorId,String,No,,,Quality Management
QualityInspection,status,QualityInspectionStatus,No,,,Quality Management
QualityInspection,result,QualityInspectionResult,Yes,,,Quality Management
QualityInspection,quantity,Int,No,,,Quality Management
QualityInspection,startedAt,DateTime,Yes,,,Quality Management
QualityInspection,completedAt,DateTime,Yes,,,Quality Management
QualityInspection,notes,String,Yes,,,Quality Management
QualityInspection,createdAt,DateTime,No,now(,,Quality Management
QualityInspection,updatedAt,DateTime,No,,,Quality Management
QualityInspection,ncrs,NCR[],No,,,Quality Management
QualityInspection,inspector,User,No,,,Quality Management
QualityInspection,plan,QualityPlan,No,,,Quality Management
QualityInspection,workOrder,WorkOrder,No,,,Quality Management
QualityInspection,measurements,QualityMeasurement[],No,,,Quality Management
QualityMeasurement,id,String,No,cuid(,,Quality Management
QualityMeasurement,inspectionId,String,No,,,Quality Management
QualityMeasurement,characteristicId,String,No,,,Quality Management
QualityMeasurement,measuredValue,Float,No,,,Quality Management
QualityMeasurement,result,String,No,,,Quality Management
QualityMeasurement,notes,String,Yes,,,Quality Management
QualityMeasurement,createdAt,DateTime,No,now(,,Quality Management
QualityMeasurement,characteristic,QualityCharacteristic,No,,,Quality Management
QualityMeasurement,inspection,QualityInspection,No,,,Quality Management
NCR,id,String,No,cuid(,,Quality Management
NCR,ncrNumber,String,No,,,Quality Management
NCR,workOrderId,String,Yes,,,Quality Management
NCR,inspectionId,String,Yes,,,Quality Management
NCR,siteId,String,Yes,,,Quality Management
NCR,partNumber,String,No,,,Quality Management
NCR,operation,String,Yes,,,Quality Management
NCR,defectType,String,No,,,Quality Management
NCR,description,String,No,,,Quality Management
NCR,severity,NCRSeverity,No,,,Quality Management
NCR,status,NCRStatus,No,,,Quality Management
NCR,quantity,Int,No,,,Quality Management
NCR,createdById,String,No,,,Quality Management
NCR,assignedToId,String,Yes,,,Quality Management
NCR,dueDate,DateTime,Yes,,,Quality Management
NCR,rootCause,String,Yes,,,Quality Management
NCR,correctiveAction,String,Yes,,,Quality Management
NCR,preventiveAction,String,Yes,,,Quality Management
NCR,closedAt,DateTime,Yes,,,Quality Management
NCR,createdAt,DateTime,No,now(,,Quality Management
NCR,updatedAt,DateTime,No,,,Quality Management
NCR,assignedTo,User,Yes,,,Quality Management
NCR,createdBy,User,No,,,Quality Management
NCR,inspection,QualityInspection,Yes,,,Quality Management
NCR,site,Site,Yes,,,Quality Management
NCR,workOrder,WorkOrder,Yes,,,Quality Management
Equipment,id,String,No,cuid(,,Core Infrastructure
Equipment,equipmentNumber,String,No,,,Core Infrastructure
Equipment,name,String,No,,,Core Infrastructure
Equipment,description,String,Yes,,,Core Infrastructure
Equipment,equipmentClass,EquipmentClass,No,,,Core Infrastructure
Equipment,equipmentType,String,Yes,,,Core Infrastructure
